comment,category
The librarian was very kind and helped me find what I needed,Staff
Our librarian always greets students with a smile,Staff
The librarian at the front desk answered all my questions patiently,Staff
I asked the librarian for help and she was rude to me,Staff
The librarian near the reference section knows the collection very well,Staff
One librarian was really unprofessional when I asked a simple question,Staff
The librarian who assisted me during checkout was slow and unhelpful,Staff
Librarians here are approachable and easy to talk to,Staff
The librarian scolded me for talking too loud which felt unnecessary,Staff
I appreciate how the librarian guided me through the online catalog,Staff
The student assistant at the circulation desk was very accommodating,Staff
Security guard at the entrance was strict but fair,Staff
The staff member who checked my ID was polite,Staff
Front desk personnel took too long to process my library card,Staff
The person manning the reserve section ignored me for several minutes,Staff
Library staff are always ready to assist even during rush hours,Staff
The attendant at the circulation counter was very courteous,Staff
Staff response time when I asked for a book was excellent,Staff
The employee at the help desk seemed annoyed by my questions,Staff
I like how the personnel here explain the borrowing policy clearly,Staff
The guard at the gate checked bags thoroughly which I appreciated,Staff
Staff during the orientation session were very informative,Staff
The lady at the reserve counter has a bad attitude toward students,Staff
Everyone working at the library treated me with respect,Staff
The librarian on duty was nowhere to be found when I needed help,Staff
Staff members should be trained better on handling complaints,Staff
The person who assisted with photocopying was efficient and friendly,Staff
I noticed the librarian correcting a student very harshly in public,Staff
The circulation staff processed my return quickly and without issues,Staff
Personnel at the archive section were knowledgeable and helpful,Staff
The air conditioning in the reading area is too cold,Facilities
Wifi connection inside the library is very unstable,Facilities
There are not enough charging outlets near the tables,Facilities
The restrooms on the second floor need better maintenance,Facilities
Study rooms are too small for group discussions,Facilities
The lighting in the graduate section is too dim for reading,Facilities
Chairs at the reading area are uncomfortable after long use,Facilities
The elevator has been broken for weeks now,Facilities
It gets very noisy near the entrance during peak hours,Facilities
The computers in the lab are outdated and slow to boot,Facilities
Aircon in the third floor is not working properly,Facilities
The library building itself is spacious and well designed,Facilities
Tables near the window are always wobbly,Facilities
There should be more power sockets available for laptops,Facilities
The ventilation system makes the whole floor smell musty,Facilities
Signage around the library is confusing for new students,Facilities
The printer near the circulation desk is always out of ink,Facilities
Cleanliness of the study area could be improved,Facilities
The library entrance is not accessible for wheelchair users,Facilities
Temperature control varies too much between floors,Facilities
The bookshelves in the general stacks are difficult to reach,Facilities
Carpet in the reading lounge is stained and needs replacement,Facilities
The security cameras make the place feel safe,Facilities
Water dispenser on the ground floor has been empty for days,Facilities
The library layout makes it hard to find quiet corners,Facilities
Noise from the construction outside disrupts studying,Facilities
The new furniture in the lounge area is very comfortable,Facilities
Internet speed drops significantly during exam season,Facilities
There is not enough natural light in the basement section,Facilities
The book scanner machine keeps jamming,Facilities
The collection of nursing books is very outdated,Collection
I could not find recent journals on my research topic,Collection
There are very few copies of the required textbook,Collection
The ebook selection needs more titles in computer science,Collection
Reference materials for engineering courses are limited,Collection
Some books in the collection are missing pages,Collection
The library needs more updated editions of law textbooks,Collection
I found a wide variety of fiction books available,Collection
The thesis archive is well organized and easy to search,Collection
There are not enough copies of bestsellers for borrowing,Collection
The online database subscription seems to have expired,Collection
Old encyclopedias should be replaced with newer references,Collection
The collection lacks materials in local Filipino authors,Collection
I appreciate the wide range of periodicals available,Collection
Some call numbers do not match the actual book location,Collection
The digital library needs more accessible ebook formats,Collection
There is a good selection of research journals this semester,Collection
Many books listed in the catalog are actually unavailable,Collection
The collection of nursing case studies helped my research,Collection
More copies of board exam reviewers are needed,Collection
The catalog search results often show incorrect availability,Collection
I found outdated statistics in some reference books,Collection
The multimedia section has a limited selection of films,Collection
Access to online academic databases was very helpful,Collection
The collection for graduate research topics is insufficient,Collection
It would help to have more updated software engineering books,Collection
I was glad to find rare Filipino literature titles here,Collection
The children's book section needs more variety,Collection
Some journals in the archive have missing volumes,Collection
Recently published titles rarely make it to the shelves,Collection
Overall I had a nice time here today,Other/Uncategorized
Thank you so much for having this survey,Other/Uncategorized
The library is generally a good place to be,Other/Uncategorized
Everything was fine during my visit,Other/Uncategorized
I do not have any specific comments to share,Other/Uncategorized
Great experience overall keep it up,Other/Uncategorized
I just wanted to say the library is nice,Other/Uncategorized
Nothing much to add at this point,Other/Uncategorized
This survey is a good way to gather feedback,Other/Uncategorized
I hope things continue to improve here,Other/Uncategorized
The campus in general has a nice atmosphere,Other/Uncategorized
Please consider adding more parking space outside campus,Other/Uncategorized
The cafeteria nearby serves overpriced food,Other/Uncategorized
I wish tuition fees were lower next semester,Other/Uncategorized
The school website is hard to navigate,Other/Uncategorized
Overall satisfied with my experience today,Other/Uncategorized
I have no complaints for now,Other/Uncategorized
Keep up the good work everyone,Other/Uncategorized
It was an okay visit nothing special happened,Other/Uncategorized
I really enjoyed spending time here this week,Other/Uncategorized
This place has a calming environment in general,Other/Uncategorized
My overall experience today was pleasant,Other/Uncategorized
I appreciate the effort put into this survey,Other/Uncategorized
Not sure what else to say about my visit,Other/Uncategorized
The whole campus could use better maintenance in general,Other/Uncategorized
I had a fine time studying here today,Other/Uncategorized
